vertexID,outDegree,inDegree,estBetweenness,approxCloseness,pageRank,KatzCentrality
0,0.0,0.0,0.0,0.0,9.812557788616047e-06,0.004280648612389514
1,5.0,61.0,0.00029562246805295555,0.18656716417910446,0.00023335724211992657,0.007160647780902972
2,6.0,1.0,4.407927267797202e-06,0.20202020202020202,4.9483296659263636e-05,0.004330615746294311
3,328.0,475.0,0.012557877586866995,0.2597402597402597,0.00118766251072136,0.03297479376155043
4,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
5,269.0,317.0,1.1669472063135528e-08,0.2252252252252252,0.00010028305428135676,0.024528883594709124
6,268.0,318.0,0.001406802406520168,0.23640661938534277,0.00012204652232054096,0.024636654604240752
7,268.0,318.0,1.8465556637976252e-05,0.22883295194508008,0.0001019599691872866,0.0245825538257087
8,268.0,317.0,1.1669472063135528e-08,0.22675736961451246,0.00010028187563447534,0.024528883594709124
9,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
10,268.0,318.0,0.0003893842811454408,0.22831050228310504,0.0001974824559851376,0.024594023468301852
11,268.0,318.0,1.1669472063135528e-08,0.2242152466367713,0.00010279107842251627,0.024576019802838613
12,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
13,268.0,318.0,8.440352301578103e-07,0.2247191011235955,0.00010301631346605196,0.02457939501334677
14,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
15,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
16,268.0,318.0,1.1541707054245802e-05,0.22727272727272727,0.00010997982815402088,0.02458335399041163
17,268.0,318.0,2.313417092440066e-06,0.2247191011235955,0.00010292050699798112,0.02457601797182577
18,268.0,317.0,1.1669472063135528e-08,0.22779043280182235,0.00010028187563447534,0.024528883594709124
19,268.0,318.0,2.1314679745686238e-05,0.2247191011235955,0.00010982432975147322,0.024579070656076254
20,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
21,268.0,318.0,1.1669472063135528e-08,0.2237136465324385,0.00010292050699798112,0.02457601797182577
22,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
23,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
24,268.0,317.0,1.1669472063135528e-08,0.22624434389140272,0.00010028187563447534,0.024528883594709124
25,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
26,268.0,318.0,2.5297183606172965e-05,0.22624434389140272,0.00011247086898143897,0.024583873160141833
27,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
28,268.0,318.0,8.440352301578103e-07,0.22883295194508008,0.00010306900264077596,0.0245829283282877
29,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
30,268.0,318.0,2.19613161138568e-05,0.22624434389140272,0.0001063525803460715,0.024582310786818648
31,268.0,318.0,7.705888427614925e-06,0.22779043280182235,0.00010529343973740947,0.024583044078153923
32,268.0,318.0,8.440352301578103e-07,0.2252252252252252,0.00010618457608094411,0.02458303741394212
33,268.0,317.0,2.967339000890846e-06,0.2242152466367713,0.00010028187563447534,0.024528883594709124
34,265.0,318.0,9.206097398229367e-06,0.22779043280182235,0.00010572943011063641,0.024580276681998414
35,268.0,318.0,0.0005808130079070663,0.22883295194508008,0.00011198678044501075,0.024589280064172703
36,268.0,317.0,1.1669472063135528e-08,0.2247191011235955,0.00010028187563447534,0.024528883594709124
37,268.0,318.0,8.440352301578103e-07,0.2247191011235955,0.00010613092459846551,0.02457946816170802
38,268.0,318.0,1.417750016020724e-05,0.2242152466367713,0.00010903130343747287,0.024580937299360842
39,268.0,318.0,7.002895035880249e-05,0.2247191011235955,0.00010808184887522548,0.02458369427939211
40,268.0,317.0,1.1669472063135528e-08,0.22573363431151244,0.00010028187563447534,0.024528883594709124
41,268.0,318.0,7.514818412006377e-05,0.2247191011235955,0.00011451918194551118,0.024579913895816246
42,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
43,268.0,317.0,2.466196685638816e-05,0.2242152466367713,0.00010028187563447534,0.024528883594709124
44,268.0,318.0,4.147152623998917e-05,0.22727272727272727,0.00010275483601281194,0.02458753944689879
45,268.0,318.0,7.705888427614925e-06,0.22883295194508008,0.00010216009609756105,0.024584324897103497
46,268.0,318.0,6.546569316038937e-05,0.22573363431151244,0.00010179306656368136,0.024582956063900274
47,268.0,317.0,1.1669472063135528e-08,0.2252252252252252,0.00010028187563447534,0.024528883594709124
48,268.0,318.0,2.1471076793630413e-05,0.22624434389140272,0.00010162325550035721,0.02458267783642742
49,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
50,268.0,319.0,0.00043722023858134776,0.22573363431151244,0.00011804098338059603,0.024634607767234994
51,268.0,318.0,7.705888427614925e-06,0.22624434389140272,0.00010163149499182494,0.02458336958097972
52,268.0,318.0,0.0005041110516688128,0.2252252252252252,0.0001249580534975559,0.024590129816077774
53,268.0,318.0,0.00010930070439227208,0.22573363431151244,0.00010521100844797974,0.02457931897190366
54,268.0,318.0,2.7299470110263174e-05,0.22624434389140272,0.00010245653285687075,0.02457854688313331
55,268.0,318.0,4.1601516817379606e-05,0.2293577981651376,0.00010369982992261411,0.02458035601730391
56,268.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028187563447534,0.024528883594709124
57,268.0,318.0,8.440352301578103e-07,0.23094688221709006,0.0001019073991119551,0.02458271931419521
58,268.0,318.0,2.048763772463078e-06,0.22624434389140272,0.00010227842933368384,0.024584648208125025
59,268.0,317.0,1.1669472063135528e-08,0.22624434389140272,0.00010028187563447534,0.024528883594709124
60,268.0,318.0,0.00010249802572635824,0.2252252252252252,0.00010872483375597298,0.02457915365417614
61,268.0,318.0,8.440352301578103e-07,0.22624434389140272,0.000101900401378384,0.024584048311407182
62,268.0,318.0,9.04659692688283e-06,0.2247191011235955,0.0001022777780816932,0.024579330159823495
63,268.0,317.0,1.1669472063135528e-08,0.2252252252252252,0.00010028187563447534,0.024528883594709124
64,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
65,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
66,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
67,268.0,318.0,8.440352301578103e-07,0.22727272727272727,0.0001022878927549183,0.02457923094123967
68,268.0,318.0,1.1320074054530732e-05,0.22573363431151244,0.0001076836186283615,0.024578726725544384
69,268.0,318.0,7.002895035880249e-05,0.22624434389140272,0.00010270180500151014,0.024583929939284793
70,268.0,318.0,8.440352301578103e-07,0.22624434389140272,0.00010227505613346103,0.02458343379705983
71,268.0,317.0,1.1669472063135528e-08,0.2252252252252252,0.00010028187563447534,0.024528883594709124
72,268.0,318.0,1.292757713363951e-05,0.22779043280182235,0.00010360205426762981,0.024584321290567587
73,268.0,318.0,2.048763772463078e-06,0.2247191011235955,0.00010149540290302236,0.02457825982919355
74,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
75,268.0,318.0,1.0251325469188098e-05,0.22573363431151244,0.00010267923587015068,0.024579674741939717
76,268.0,318.0,0.00010769519199414488,0.22624434389140272,0.00010278655437270698,0.024584357241158757
77,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
78,268.0,318.0,1.5471879187707877e-05,0.2237136465324385,0.00010196436773087043,0.0245762806631553
79,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
80,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
81,268.0,318.0,1.9777760859033486e-05,0.22779043280182235,0.0001023456863216181,0.02458364485225619
82,268.0,317.0,1.1669472063135528e-08,0.2242152466367713,0.00010028187563447534,0.024528883594709124
83,268.0,318.0,6.348489722295223e-06,0.22624434389140272,0.00010298820608963147,0.024582595632064212
84,268.0,318.0,0.0007546107222930124,0.22624434389140272,0.00010829516348445424,0.02458662616700742
85,268.0,318.0,9.291354288607558e-05,0.2252252252252252,0.00010351598275899425,0.024578593529456016
86,268.0,318.0,0.00020567022687883606,0.2252252252252252,0.0001030672838334128,0.02458104741940096
87,268.0,318.0,0.00011012966106746051,0.22779043280182235,0.00010369068881103405,0.024582099567628298
88,267.0,317.0,1.1669472063135528e-08,0.2237136465324385,0.00010028068818679581,0.024528883594709124
